"DisplayName","PrimarySMTPAddress","SendAsPermissions","FullAccessPermissions","SendOnBehalfPermissions"
"samdrey","samdrey@CanadaSam.ca","","",""
"Discovery Search Mailbox","DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@CanadaSam.ca","","CANADADREY\Discovery Management",""
"Tom Eg?rie","Tom.Egerie@CanadaSam.ca","","",""
"Alain Posteur","Alain.Posteur@CanadaSam.ca","","",""
"Aude Vaisselle","Aude.Vaisselle@CanadaSam.ca","","",""
"Nordine Ateur","Nordine.Ateur@CanadaSam.ca","","",""
"Harry Stocrate","Harry.Stocrate@CanadaSam.ca","","",""
"Delphine Talaron","Delphine.Talaron@CanadaSam.ca","","",""
"Paul Ution","Paul.Ution@CanadaSam.ca","","",""
"Jean Aimarre","Jean.Aimarre@CanadaSam.ca","","",""
"Phil Danstachambre","Phil.Danstachambre@CanadaSam.ca","","",""
"Pat Icier","Pat.Icier@CanadaSam.ca","","",""
"Kelly Diossi","Kelly.Diossi@CanadaSam.ca","","",""
"Harry Cobeure","Harry.Cobeure@CanadaSam.ca","","",""
"Sarah Croche","Sarah.Croche@CanadaSam.ca","","",""
"Anne Orak","Anne.Orak@CanadaSam.ca","","",""
"Otto Matik","Otto.Matik@CanadaSam.ca","","",""
"Olga Minpleure","Olga.Minpleure@CanadaSam.ca","","",""
"Abel Auboisdormant","Abel.Auboisdormant@CanadaSam.ca","","",""
"Thomas Toketchup","Thomas.Toketchup@CanadaSam.ca","","",""
"Alain Tuission","Alain.Tuission@CanadaSam.ca","","",""
"Alex Pyration","Alex.Pyration@CanadaSam.ca","","",""
